rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,funding_behavior_label,funding_behavior_reason,chips_trend_4d,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
13,A,Y,88.61,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,74.32,75.14,3231,緯創,TWSE,電腦週邊,189.5,AI,3-5日延續,催化觀察,未明確,"法人占比 -13.45% / 5日 13.59%；外資 -10,143 張，投信 -38 張，自營 -900 張；分點主力 +26,268 張，占比 12.83%；籌碼4日上升 0/3，20日報酬 31.14%，距60日高點 -6.42%",0,回踩承接,業績成長,53.85,68.36,3,13.59,12.83,31.14,37.32,0.88,-6.42,15.0,10.19,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
14,A,Y,82.06,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,5,1,82.37,82.32,6907,雅特力-KY,TPEX,櫃半導體,195.0,AI,待確認,一般觀察,未明確,法人占比 10.50% / 5日 -11.75%；外資 +221 張，投信 +0 張，自營 +37 張；分點主力 +309 張，占比 12.58%；籌碼4日上升 1/3，20日報酬 0.00%，距60日高點 -20.73%,1,結構未完成,業績成長,113.56,103.88,3,-11.75,12.58,0.0,59.84,1.42,-20.73,6.0,17.17,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上,,核心 6/6，加分 1/3；型態 早期起漲；結構 結構未完成；題材 AI；資金 未明確；訊號 待確認
15,A,Y,77.27,early,早期起漲,N,N,,,Y,Y,early,早期起漲,6,5,1,62.18,81.53,6472,保瑞,TWSE,生技,418.5,AI,3-5日延續,催化觀察,未明確,法人占比 -14.49% / 5日 19.04%；外資 -77 張，投信 +0 張，自營 -36 張；分點主力 +485 張，占比 32.14%；籌碼4日上升 1/3，20日報酬 -1.76%，距60日高點 -9.42%；分點主力買超占比偏高,1,回踩承接,業績成長,39.22,17.31,2,19.04,32.14,-1.76,15.29,1.03,-9.42,6.0,11.01,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20,,核心 6/6，加分 1/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
16,B,Y,88.42,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,85.43,91.56,2376,技嘉,TWSE,電腦週邊,344.0,AI,3-5日延續,催化觀察,未明確,"法人占比 22.85% / 5日 28.64%；外資 +1,907 張，投信 -234 張，自營 +19 張；分點主力 +904 張，占比 8.86%；籌碼4日上升 1/3，20日報酬 2.23%，距60日高點 -14.43%；外資方向與5日法人方向一致",1,整理待確認,業績成長,68.55,49.06,3,28.64,8.86,2.23,5.2,1.09,-14.43,14.0,12.69,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 3-5日延續
17,B,Y,87.47,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,80.82,92.57,6206,飛捷,TWSE,電腦週邊,144.5,存儲記憶體,5-10日波段,波段布局,未明確,"法人占比 8.56% / 5日 17.20%；外資 +757 張，投信 -453 張，自營 +75 張；分點主力 +1,308 張，占比 17.97%；籌碼4日上升 0/3，20日報酬 9.89%，距60日高點 -5.86%；外資方向與5日法人方向一致；分點主力買超占比偏高",0,回踩承接,業績成長,26.29,38.67,3,17.2,17.97,9.89,5.86,1.65,-5.86,6.0,17.18,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 存儲記憶體；資金 未明確；訊號 5-10日波段
18,B,Y,85.71,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,81.3,83.18,2317,鴻海,TWSE,其他電子,264.5,AI,3-5日延續,催化觀察,未明確,"法人占比 27.55% / 5日 36.75%；外資 +21,743 張，投信 +136 張，自營 +148 張；分點主力 +32,966 張，占比 46.68%；籌碼4日上升 1/3，20日報酬 11.37%，距60日高點 -15.76%；外資方向與5日法人方向一致；分點主力買超占比偏高",1,整理待確認,業績成長,54.19,48.62,3,36.75,46.68,11.37,8.18,1.54,-15.76,15.0,11.25,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 3-5日延續
19,B,Y,85.51,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,81.8,81.57,2301,光寶科,TWSE,電腦週邊,252.5,AI,3-5日延續,催化觀察,未明確,"法人占比 -0.47% / 5日 28.06%；外資 -500 張，投信 +299 張，自營 +13 張；分點主力 +10,182 張，占比 11.44%；籌碼4日上升 1/3，20日報酬 18.27%，距60日高點 -5.96%",1,回踩承接,業績成長,36.98,30.35,3,28.06,11.44,18.27,21.98,1.55,-5.96,15.0,16.48,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 3-5日延續
20,B,Y,85.48,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,80.37,83.21,6187,萬潤,TPEX,櫃半導體,1175.0,CoPoS,5-10日波段,波段布局,未明確,法人占比 5.04% / 5日 13.24%；外資 -26 張，投信 +117 張，自營 +118 張；分點主力 +729 張，占比 17.68%；籌碼4日上升 0/3，20日報酬 11.90%，距60日高點 -8.91%；分點主力買超占比偏高,0,回踩承接,業績成長,87.06,52.32,3,13.24,17.68,11.9,3.07,1.86,-8.91,12.0,16.44,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 CoPoS；資金 未明確；訊號 5-10日波段
21,B,Y,85.39,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,82.4,80.21,3037,欣興,TWSE,電子零組件,973.0,AI,待確認,一般觀察,未明確,"法人占比 -0.25% / 5日 10.80%；外資 -616 張，投信 +581 張，自營 -28 張；分點主力 +10,304 張，占比 25.10%；籌碼4日上升 2/3，20日報酬 11.20%，距60日高點 -13.89%；分點主力買超占比偏高",2,整理待確認,業績成長,36.31,32.11,3,10.8,25.1,11.2,10.44,1.0,-13.89,15.0,17.36,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 待確認
22,B,Y,84.73,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,79.88,80.04,3006,晶豪科,TWSE,半導體,258.0,存儲記憶體,3-5日延續,催化觀察,未明確,"法人占比 26.34% / 5日 32.21%；外資 +7,835 張，投信 +0 張，自營 +118 張；分點主力 +4,373 張，占比 37.10%；籌碼4日上升 1/3，20日報酬 8.86%，距60日高點 -5.67%；外資方向與5日法人方向一致；分點主力買超占比偏高",1,回踩承接,業績成長,491.06,372.07,3,32.21,37.1,8.86,8.4,2.93,-5.67,13.0,17.19,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 存儲記憶體；資金 未明確；訊號 3-5日延續
23,B,Y,82.95,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,74.77,77.54,2383,台光電,TWSE,電子零組件,5305.0,AI,待確認,一般觀察,①長線建倉,法人占比 3.23% / 5日 -10.94%；外資 -21 張，投信 +103 張，自營 -25 張；分點主力 +94 張，占比 4.02%；籌碼4日上升 2/3，20日報酬 0.19%，距60日高點 -15.12%；外資方向與5日法人方向一致,2,整理待確認,業績成長,129.4,121.57,3,-10.94,4.02,0.19,7.83,0.84,-15.12,12.0,17.52,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 整理待確認；題材 AI；資金 ①長線建倉；訊號 待確認
24,B,Y,81.93,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,5,5,3,70.67,77.54,5274,信驊,TPEX,櫃半導體,16750.0,AI,待確認,一般觀察,未明確,法人占比 14.78% / 5日 16.99%；外資 -13 張，投信 +60 張，自營 +0 張；分點主力 +34 張，占比 10.69%；籌碼4日上升 1/3，20日報酬 22.58%，距60日高點 -7.32%,1,回踩承接,業績成長,97.59,77.93,3,16.99,10.69,22.58,3.45,1.26,-7.32,11.0,19.07,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 待確認
25,B,Y,80.06,early,早期起漲,Y,Y,early,早期起漲,N,N,,,5,5,2,77.71,84.41,4916,事欣科,TWSE,電腦週邊,108.0,光學,待確認,一般觀察,①長線建倉,法人占比 6.74% / 5日 4.02%；外資 +316 張，投信 +0 張，自營 +22 張；分點主力 +452 張，占比 9.15%；籌碼4日上升 2/3，20日報酬 0.00%，距60日高點 -15.29%；外資方向與5日法人方向一致,2,整理待確認,業績成長,80.52,78.36,3,4.02,9.15,0.0,61.43,0.88,-15.29,8.0,15.6,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 2/3；型態 早期起漲；結構 整理待確認；題材 光學；資金 ①長線建倉；訊號 待確認
26,B,Y,77.68,early,早期起漲,N,N,,,Y,Y,early,早期起漲,5,5,2,72.12,79.51,3023,信邦,TWSE,電子零組件,323.0,AI,5-10日波段,波段布局,未明確,法人占比 -13.15% / 5日 15.86%；外資 -451 張，投信 +244 張，自營 +11 張；分點主力 +341 張，占比 18.86%；籌碼4日上升 1/3，20日報酬 -0.92%，距60日高點 -8.63%；分點主力買超占比偏高,1,回踩承接,業績成長,28.97,21.36,3,15.86,18.86,-0.92,10.24,0.95,-8.63,7.0,16.99,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | MA60 在 MA120 之上,MA20 在 MA60 之上,核心 5/6，加分 2/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 5-10日波段
27,A,N,84.61,early,早期起漲,Y,N,early,早期起漲,N,N,,,6,5,3,60.39,72.58,3704,合勤控,TWSE,通訊網路,47.25,AI,待確認,暫不出手,未明確,"法人占比 -24.98% / 5日 15.52%；外資 -745 張，投信 +0 張，自營 -9 張；分點主力 +1,852 張，占比 43.45%；籌碼4日上升 1/3，20日報酬 4.19%，距60日高點 -8.07%；分點主力買超占比偏高",1,回踩承接,業績成長,47.87,40.8,3,15.52,43.45,4.19,28.75,0.71,-8.07,4.0,13.26,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；資金 未明確；訊號 待確認
28,A,N,83.65,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,6,5,3,62.9,64.64,2324,仁寶,TWSE,電腦週邊,37.3,AI,待確認,暫不出手,未明確,"法人占比 5.81% / 5日 25.87%；外資 +2,157 張，投信 -42 張，自營 -407 張；分點主力 +8,078 張，占比 16.81%；籌碼4日上升 0/3，20日報酬 1.91%，距60日高點 -21.88%；外資方向與5日法人方向一致；分點主力買超占比偏高",0,結構未完成,業績成長,58.38,32.07,3,25.87,16.81,1.91,23.31,0.6,-21.88,13.0,10.86,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 早期起漲；結構 結構未完成；題材 AI；資金 未明確；訊號 待確認
29,A,N,82.16,continuation,強勢續攻,Y,N,continuation,強勢續攻,Y,N,early,早期起漲,6,5,3,62.38,57.83,6669,緯穎,TWSE,電腦週邊,6265.0,AI,待確認,暫不出手,未明確,法人占比 17.43% / 5日 9.02%；外資 +241 張，投信 -33 張，自營 +12 張；分點主力 +170 張，占比 8.21%；籌碼4日上升 1/3，20日報酬 24.31%，距60日高點 -2.11%；外資方向與5日法人方向一致,1,平台突破,業績成長,29.79,25.87,3,9.02,8.21,24.31,15.27,0.78,-2.11,12.0,12.04,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 股價站上 MA20 | 20日報酬為正 | MA60 在 MA120 之上,,核心 6/6，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；資金 未明確；訊號 待確認
