rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
12,A,Y,91.24,early,早期起漲,9,7,2,87.34,88.99,6568,宏觀,TPEX,櫃半導體,225.0,AI,5-10日波段,波段布局,回踩承接,業績成長,65.87,28.38,3,10.46,31.83,9.76,63.04,0.76,-6.44,5.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 5-10日波段
13,A,Y,90.97,continuation,強勢續攻,9,7,3,74.98,86.12,3044,健鼎,TWSE,電子零組件,411.5,AI,3-5日延續,催化觀察,平台突破,業績成長,24.38,22.01,3,3.09,4.4,10.17,29.2,0.85,-2.72,10.0,14.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
14,A,Y,90.93,continuation,強勢續攻,9,7,3,78.33,81.75,6531,愛普*,TWSE,半導體,644.0,一般,3-5日延續,催化觀察,平台突破,業績成長,112.62,117.69,3,5.67,29.14,16.88,36.44,1.41,-1.23,13.0,15.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 3-5日延續
15,A,Y,90.57,continuation,強勢續攻,9,7,3,75.37,83.65,2481,強茂,TWSE,半導體,118.0,一般,3-5日延續,催化觀察,平台突破,業績成長,19.14,10.95,2,11.28,13.3,15.12,48.61,1.74,0.0,14.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 3-5日延續
16,A,Y,90.42,early,早期起漲,9,7,3,74.53,83.93,3491,昇達科,TPEX,櫃通訊網路,1670.0,低軌衛星,待確認,一般觀察,整理待確認,業績成長,36.25,68.62,3,-13.97,27.96,19.29,109.8,1.14,-11.87,12.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 早期起漲；結構 整理待確認；題材 低軌衛星；訊號 待確認
17,A,Y,90.42,continuation,強勢續攻,9,7,3,74.57,83.91,5234,達興材料,TWSE,光電,443.0,一般,待確認,一般觀察,回踩承接,翻轉觀察,5.52,8.92,3,13.26,25.63,11.03,21.37,1.2,-3.06,7.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 待確認
18,A,Y,89.44,continuation,強勢續攻,9,7,2,81.53,87.25,1815,富喬,TPEX,櫃電子零組件,127.0,AI,3-5日延續,催化觀察,平台突破,業績成長,33.01,37.65,3,4.71,25.08,13.9,45.64,1.79,0.0,14.0,12.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
19,A,Y,89.41,early,早期起漲,9,7,3,77.13,75.62,6739,竹陞科技,TPEX,櫃其他電子,1560.0,一般,3-5日延續,催化觀察,回踩承接,業績成長,87.84,92.53,3,-8.18,14.33,28.93,118.79,0.85,-6.59,8.0,20.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
20,A,Y,89.38,early,早期起漲,9,7,2,80.09,88.77,3689,湧德,TPEX,櫃電子零組件,132.5,一般,待確認,一般觀察,回踩承接,業績成長,41.8,28.33,3,2.93,12.79,6.85,5.58,0.73,-9.25,8.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
21,A,Y,89.06,early,早期起漲,9,7,3,71.17,81.34,3406,玉晶光,TWSE,光電,503.0,矽光子,待確認,一般觀察,回踩承接,業績成長,14.32,14.28,3,15.26,7.63,12.28,10.31,1.55,-7.54,7.0,18.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 早期起漲；結構 回踩承接；題材 矽光子；訊號 待確認
22,A,Y,89.02,continuation,強勢續攻,9,7,2,80.5,86.47,1560,中砂,TWSE,電機機械,533.0,一般,3-5日延續,催化觀察,平台突破,業績成長,31.15,29.52,3,12.2,10.61,9.78,30.16,1.2,-2.02,9.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 3-5日延續
23,A,Y,88.84,early,早期起漲,9,7,3,69.22,82.66,5274,信驊,TPEX,櫃半導體,13805.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,63.63,52.68,3,-19.39,21.45,14.56,71.38,1.07,-7.29,11.0,18.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
24,A,Y,88.82,early,早期起漲,9,7,3,70.99,80.36,6163,華電網,TPEX,櫃通訊網路,67.4,重電,3-5日延續,催化觀察,整理待確認,業績成長,69.39,67.53,2,1.29,7.79,17.83,2.74,2.25,-12.01,7.0,11.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 早期起漲；結構 整理待確認；題材 重電；訊號 3-5日延續
25,A,Y,88.6,continuation,強勢續攻,9,7,3,72.66,77.18,3711,日月光投控,TWSE,半導體,442.0,CoWoS,3-5日延續,催化觀察,回踩承接,業績成長,14.57,17.26,3,-3.22,10.35,23.64,62.5,1.25,-4.54,14.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 CoWoS；訊號 3-5日延續
26,A,Y,88.08,early,早期起漲,9,7,2,73.89,90.03,7769,鴻勁,TWSE,半導體,4500.0,AI,待確認,一般觀察,回踩承接,轉虧為盈,111.27,80.74,3,17.21,10.3,8.17,30.62,1.61,-8.07,12.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
27,A,Y,87.98,continuation,強勢續攻,9,7,3,66.74,81.5,8039,台虹,TWSE,電子零組件,143.5,一般,待確認,一般觀察,回踩承接,翻轉觀察,10.46,7.97,2,-4.0,2.45,22.13,68.63,1.85,-5.28,13.0,15.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 待確認
28,A,Y,87.98,continuation,強勢續攻,9,7,3,70.66,76.59,2885,元大金,TWSE,金融業,50.2,散熱,3-5日延續,催化觀察,平台突破,業績成長,70.15,77.69,3,4.16,9.32,12.43,23.04,1.0,-1.95,13.0,9.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 強勢續攻；結構 平台突破；題材 散熱；訊號 3-5日延續
29,A,Y,87.96,continuation,強勢續攻,9,7,2,77.44,84.98,8086,宏捷科,TPEX,櫃半導體,148.5,AI,3-5日延續,催化觀察,回踩承接,業績成長,47.95,60.47,3,-1.96,9.47,9.59,29.13,3.25,-4.19,10.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 3-5日延續
30,A,Y,87.88,continuation,強勢續攻,9,7,2,79.82,81.6,2495,普安,TWSE,電腦週邊,42.85,一般,3-5日延續,催化觀察,回踩承接,業績成長,61.01,35.14,3,5.69,7.16,19.19,33.91,0.91,-5.2,8.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
31,A,Y,87.82,continuation,強勢續攻,9,7,2,76.19,85.84,6415,矽力*-KY,TWSE,半導體,332.5,AI,3-5日延續,催化觀察,平台突破,業績成長,12.03,20.24,3,10.1,12.13,18.54,40.89,2.58,0.0,12.0,12.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
32,A,Y,87.68,continuation,強勢續攻,9,7,2,73.89,88.02,3380,明泰,TWSE,通訊網路,41.55,散熱,3-5日延續,催化觀察,回踩承接,業績成長,50.49,15.67,2,3.57,21.3,15.58,31.28,0.97,-5.46,8.0,10.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 回踩承接；題材 散熱；訊號 3-5日延續
33,A,Y,87.49,early,早期起漲,9,7,3,66.57,79.22,3498,陽程,TPEX,櫃其他電子,84.6,一般,待確認,一般觀察,回踩承接,轉虧為盈,156.95,100.34,3,-3.05,0.37,12.65,55.8,0.93,-6.1,7.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
34,A,Y,87.41,early,早期起漲,9,7,2,76.07,83.92,7751,竑騰,TPEX,櫃半導體,1895.0,一般,待確認,一般觀察,整理待確認,業績成長,66.47,73.63,3,1.71,10.27,14.5,138.36,1.59,-10.4,6.0,16.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 整理待確認；題材 一般；訊號 待確認
35,A,Y,87.23,early,早期起漲,9,7,2,73.99,85.62,5443,均豪,TPEX,櫃半導體,114.0,CoWoS,5-10日波段,波段布局,回踩承接,業績成長,63.97,25.52,2,-7.57,10.52,10.68,16.8,0.56,-6.56,8.0,18.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 CoWoS；訊號 5-10日波段
36,A,Y,87.17,continuation,強勢續攻,9,7,2,73.48,85.97,3653,健策,TWSE,電子零組件,4565.0,散熱,3-5日延續,催化觀察,回踩承接,業績成長,18.86,11.24,2,0.27,7.72,14.7,77.97,1.05,-3.28,12.0,17.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 強勢續攻；結構 回踩承接；題材 散熱；訊號 3-5日延續
37,A,Y,86.4,early,早期起漲,9,7,3,65.14,75.57,6291,沛亨,TPEX,櫃半導體,421.5,一般,3-5日延續,催化觀察,回踩承接,業績成長,43.44,49.75,3,-6.13,3.48,16.6,127.84,0.88,-8.57,6.0,20.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端 | 流動性/財報品質達基本門檻,,核心 9/9，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
38,A,Y,86.29,early,早期起漲,9,7,2,70.62,85.15,8070,長華*,TWSE,電子通路,48.3,一般,3-5日延續,催化觀察,回踩承接,業績成長,32.35,20.27,3,20.25,19.91,10.65,2.44,2.02,-3.78,5.0,9.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 9/9，加分 2/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
39,A,Y,86.14,continuation,強勢續攻,9,7,2,76.31,75.6,8016,矽創,TWSE,半導體,215.0,一般,待確認,暫不出手,平台突破,業績成長,29.27,22.09,3,10.22,10.86,8.04,13.46,2.19,-0.92,3.0,19.0,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 9/9，加分 2/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
